93,-1,-5,82.42302038318063,4
228,12,-5,29.005324945875643,2
217,7,-12,30.024891655090528,2
239,15,-42,38.78188257233969,2
234,14,-42,7.945161961515539,1
231,13,-40,24.058106169942313,2
235,14,-41,29.145462776846827,2
207,3,-41,11.807329050158334,1
206,3,-44,7.788907146739017,1
205,2,-46,35.48104793037328,2
100,-2,-44,82.56770868102622,4
291,40,-32,64.19587549646927,3
289,40,-33,88.31405362336729,4
305,46,-6,26.40276349481323,2
302,44,-4,37.13982665981767,2
292,41,-3,59.87676866762014,3
297,42,-9,86.01290651853213,4
296,42,-11,38.502534996598776,2
295,42,-12,64.78829425084382,3
294,42,-13,67.75672204687409,3
293,42,-18,39.909716504210024,2
304,46,-18,88.52866191847518,4
303,46,-35,23.670076017044025,1
298,43,-34,15.75623521615681,1
300,44,-34,27.977856644821948,2
290,38,-38,51.194214551438954,3
252,23,-38,65.06896953746755,3
256,24,-37,85.44888458271468,4
237,15,-44,53.25989656434352,2
233,14,-44,40.36168299162795,2
232,14,-45,19.02726707068454,1
236,15,-45,28.228089023892664,2
240,17,-44,87.34446133269402,4
244,18,-40,31.45498840505033,2
243,18,-41,64.07687735063512,3
242,17,-40,10.743971662335035,1
241,17,-42,48.06510527182495,3
238,15,-43,87.70493141872589,4
220,9,-37,39.39058925134726,2
214,7,-38,17.52484673272685,1
213,6,-39,41.736395178764255,2
211,5,-42,79.46316698342588,4
204,1,-43,88.31405362336729,4
101,0,-29,89.69394312552512,4
208,3,-24,50.54818244669516,2
210,5,-19,71.67263433286365,3
223,9,-25,59.264111013504504,3
219,8,-23,49.24672172603165,2
224,9,-19,79.46316698342588,4
248,21,-19,37.92351783958771,2
247,21,-25,40.31126278271682,2
277,31,-25,51.400291595575844,2
286,36,-28,16.19827405128042,1
272,29,-35,23.04872690469407,1
269,28,-27,12.787413033334168,1
282,33,-28,10.790856163500848,1
250,22,-22,13.037887205843656,1
257,24,-21,8.006188586694533,1
229,13,-23,17.03396222791904,1
225,9,-16,13.349158997547931,1
200,0,-12,12.33290561359542,1
251,22,-16,7.908830343041528,1
284,35,-27,68.9245242449632,3
278,31,-8,26.505878868607873,2
280,32,-7,33.38617615251227,2
263,27,-28,70.1872454772183,3
221,9,-31,38.993032379684855,2
222,9,-30,10.84929516886278,1
216,7,-31,86.35050494250198,4
215,7,-34,59.08662975240114,2
212,6,-35,8.703267142489832,1
245,19,-27,54.80412814544219,2
209,5,-29,49.91734513993239,3
227,12,-28,39.76122469360938,2
249,22,-30,7.801836265052922,1
253,23,-30,58.20880059924704,3
262,27,-31,85.11133788272134,4
261,27,-32,22.85752802035466,1
273,30,-29,23.475991528185133,1
276,31,-29,40.12680236084142,2
279,32,-28,88.73413122153497,4
271,29,-22,89.72208434871595,4
268,28,-22,22.82651925124221,2
281,32,-19,81.96331615285324,4
274,30,-18,43.661887487912935,2
270,28,-15,36.92837788233263,2
275,30,-14,24.869373421789902,2
264,27,-22,45.71360926005605,3
267,27,-23,76.56846110050547,3
260,26,-22,32.481559514700464,2
259,26,-17,50.83922320653661,3
265,27,-16,83.76643012447322,4
254,23,-18,77.17650578078616,3
255,23,-16,77.67749687526327,3
246,19,-10,77.35862602266198,4
230,13,-7,20.866177732610055,1
226,10,-8,86.90694939053417,4
218,7,-3,22.641398155664582,1
258,25,-7,33.63692480499392,2
266,27,-5,20.4492963534076,1
299,43,-19,8.0012273580702,1
